"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","18766.55","2.95e-6","4.00e-8","-2.02","-","165.64","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","16763.41","3.07e-6","5.00e-8","-2.02","-","160.39","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","7533.88","1.56e-6","3.00e-8","-2.02","-","132.03","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","6006.78","1.36e-6","3.00e-8","-2.02","-","103.51","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","2821.82","8.55e-7","2.90e-8","-2.02","-","76.50","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","2192.19","6.25e-7","2.30e-8","-2.02","-","51.64","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","281.86","2.06e-7","1.90e-8","-2.02","-","29.47","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","95.74","9.28e-8","1.36e-8","-2.02","-","22.06","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","836.93","3.91e-7","2.20e-8","-2.02","-","42.04","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","3257.01","8.86e-7","2.80e-8","-2.02","-","70.48","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","1455.92","5.07e-7","2.30e-8","-2.02","-","101.10","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","874.75","3.80e-7","2.10e-8","-2.02","-","131.85","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","6452.27","1.51e-6","3.00e-8","-2.02","-","161.09","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","12436.01","2.94e-6","5.00e-8","-2.02","-","164.94","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","12467.1","2.92e-6","5.00e-8","-2.02","-","137.06","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","14094.9","3.05e-6","5.00e-8","-2.02","-","108.42","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","52611.27","8.74e-6","8.00e-8","-2.02","-","81.07","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","20063.6","4.20e-6","6.00e-8","-2.02","-","55.84","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","10646.21","2.62e-6","5.00e-8","-2.02","-","32.95","1e-8","0","bin19.log"
