"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","5928.03","3.45e-6","9.00e-8","-2.02","-","155.27","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","4224.96","2.61e-6","8.00e-8","-2.02","-","161.75","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","4450.36","2.97e-6","9.00e-8","-2.02","-","167.62","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","3893.75","3.07e-6","1.00e-7","-2.02","-","171.55","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","2415.42","2.44e-6","1.00e-7","-2.02","-","170.72","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","4915.6","4.39e-6","1.30e-7","-2.02","-","165.98","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","4604.52","3.51e-6","1.10e-7","-2.02","-","159.94","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","3180.29","2.33e-6","8.00e-8","-2.02","-","153.49","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","3797.81","2.49e-6","8.00e-8","-2.02","-","146.87","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","2376.88","1.74e-6","7.00e-8","-2.02","-","140.19","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","1265.86","1.17e-6","6.00e-8","-2.02","-","133.47","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","1344.99","1.40e-6","7.00e-8","-2.02","-","126.75","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","1070.86","1.32e-6","8.00e-8","-2.02","-","120.05","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","793.7","1.09e-6","7.00e-8","-2.02","-","113.39","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","1283.47","1.36e-6","7.00e-8","-2.02","-","106.79","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","1968.82","1.52e-6","6.00e-8","-2.02","-","100.26","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","1659.88","1.41e-6","6.00e-8","-2.02","-","93.83","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","1265.93","1.14e-6","6.00e-8","-2.02","-","87.50","1e-8","0","bin18.log"
