"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Oct 28 2012","2456228.499976852","373075201","1443.24","1.90e-7","1.20e-8","-1.74","-","67.65","1e-8","0","bin52.log"
"Nov 27 2012","2456258.499976852","375667201","2398.58","2.87e-7","1.40e-8","-1.74","-","89.50","1e-8","0","bin53.log"
"Dec 27 2012","2456288.499976852","378259201","1670.17","2.39e-7","1.40e-8","-1.74","-","106.74","1e-8","0","bin54.log"
"Jan 26 2013","2456318.499976852","380851201","1378.67","1.99e-7","1.30e-8","-1.74","-","121.19","1e-8","0","bin55.log"
"Feb 25 2013","2456348.499976852","383443201","2014.22","2.80e-7","1.50e-8","-1.74","-","134.45","1e-8","0","bin56.log"
"Mar 27 2013","2456378.499976852","386035201","2839.89","3.71e-7","1.70e-8","-1.74","-","139.45","1e-8","0","bin57.log"
"Apr 26 2013","2456408.499976852","388627201","3357.44","3.94e-7","1.70e-8","-1.74","-","126.98","1e-8","0","bin58.log"
"May 26 2013","2456438.499976852","391219201","2292.33","2.82e-7","1.40e-8","-1.74","-","101.99","1e-8","0","bin59.log"
"Jun 25 2013","2456468.499976852","393811201","2702.42","3.32e-7","1.50e-8","-1.74","-","72.31","1e-8","0","bin60.log"
"Jul 25 2013","2456498.499976852","396403201","1848.16","2.64e-7","1.50e-8","-1.74","-","44.03","1e-8","0","bin61.log"
"Aug 24 2013","2456528.499976852","398995201","2214.99","3.04e-7","1.60e-8","-1.74","-","28.46","1e-8","0","bin62.log"
"Sep 23 2013","2456558.499976852","401587201","1543.76","2.13e-7","1.30e-8","-1.74","-","40.38","1e-8","0","bin63.log"
"Oct 23 2013","2456588.499976852","404179201","1160.5","1.70e-7","1.20e-8","-1.74","-","63.52","1e-8","0","bin64.log"
"Nov 22 2013","2456618.499976852","406771201","1217.27","1.74e-7","1.20e-8","-1.74","-","85.98","1e-8","0","bin65.log"
"Dec 22 2013","2456648.499976852","409363201","722.49","1.72e-7","1.40e-8","-1.74","-","104.03","1e-8","0","bin66.log"
"Jan 21 2014","2456678.499976852","411955201","1153.73","1.92e-7","1.30e-8","-1.74","-","118.71","1e-8","0","bin67.log"
"Feb 20 2014","2456708.499976852","414547201","1073.69","2.14e-7","1.50e-8","-1.74","-","132.39","1e-8","0","bin68.log"
"Mar 22 2014","2456738.499976852","417139201","1449.45","2.36e-7","1.50e-8","-1.74","-","139.73","1e-8","0","bin69.log"
"Apr 21 2014","2456768.499976852","419731201","2853.89","3.78e-7","1.80e-8","-1.74","-","130.33","1e-8","0","bin70.log"
"May 21 2014","2456798.499976852","422323201","1377.83","2.27e-7","1.40e-8","-1.74","-","106.88","1e-8","0","bin71.log"
"Jun 20 2014","2456828.499976852","424915201","655.63","1.48e-7","1.40e-8","-1.74","-","77.58","1e-8","0","bin72.log"
"Jul 20 2014","2456858.499976852","427507201","829.04","1.78e-7","1.40e-8","-1.74","-","48.54","1e-8","0","bin73.log"
"Aug 19 2014","2456888.499976852","430099201","112.87","4.60e-8","8.80e-9","-1.74","-","29.29","1e-8","0","bin74.log"
"Sep 18 2014","2456918.499976852","432691201","1385.31","2.23e-7","1.50e-8","-1.74","-","36.89","1e-8","0","bin75.log"
"Oct 18 2014","2456948.499976852","435283201","1294.86","2.55e-7","1.70e-8","-1.74","-","59.35","1e-8","0","bin76.log"
"Nov 17 2014","2456978.499976852","437875201","1635.68","2.64e-7","1.60e-8","-1.74","-","82.32","1e-8","0","bin77.log"
"Dec 17 2014","2457008.499976852","440467201","2316.05","2.64e-7","1.40e-8","-1.74","-","101.22","1e-8","0","bin78.log"
"Jan 16 2015","2457038.499976852","443059201","1151.19","1.64e-7","1.10e-8","-1.74","-","116.23","1e-8","0","bin79.log"
"Feb 15 2015","2457068.499976852","445651201","827.31","1.52e-7","1.20e-8","-1.74","-","130.16","1e-8","0","bin80.log"
"Mar 17 2015","2457098.499976852","448243201","1341.23","2.05e-7","1.40e-8","-1.74","-","139.45","1e-8","0","bin81.log"
"Apr 16 2015","2457128.499976852","450835201","1605.48","2.14e-7","1.30e-8","-1.74","-","133.25","1e-8","0","bin82.log"
"May 16 2015","2457158.499976852","453427201","1091.54","1.64e-7","1.10e-8","-1.74","-","111.59","1e-8","0","bin83.log"
"Jun 15 2015","2457188.499976852","456019201","1800.52","2.44e-7","1.40e-8","-1.74","-","82.85","1e-8","0","bin84.log"
"Jul 15 2015","2457218.499965278","458611201","1843.2","2.44e-7","1.40e-8","-1.74","-","53.30","1e-8","0","bin85.log"
